stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\kubac\Documents\GitHub\AI\projekt_strzelanka2d\strzelanka\strzelanka_2d\x64\Debug\allegro5.cfg r
display  D   display_settings.c:529  _al_score_display_settings       [   0.04353] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.04358] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04363] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.04368] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04371] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.04375] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04379] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.04384] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04393] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.04398] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04403] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.04408] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04412] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.04416] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04421] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.04424] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04429] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.04434] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04441] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.04447] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04452] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.04457] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04462] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.04469] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04475] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04483] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04489] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04494] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04499] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04508] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04514] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04521] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04527] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04532] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04538] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04544] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04549] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04554] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04559] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04563] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04568] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04572] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04576] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04580] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04583] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04588] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04592] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04596] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04599] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04604] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04608] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04611] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04614] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04617] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04622] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04626] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04630] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.04635] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04638] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.04642] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04646] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.04649] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04652] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.04656] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04660] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.04664] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04669] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.04674] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04678] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.04683] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04688] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.04692] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04695] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.04699] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04703] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.04708] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04712] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.04716] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04719] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.04723] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04727] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.04731] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04735] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.04739] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04743] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.04747] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04751] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.04754] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04758] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04762] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04766] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04770] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04775] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04778] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04782] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04785] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04790] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04795] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04799] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04803] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04807] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04812] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04821] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04825] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04829] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04832] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04836] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04839] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04843] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04846] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04850] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04853] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04856] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04859] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04863] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04867] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04871] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04876] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04880] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1677 d3d_create_display_internals     [   0.04885] Trying format 0.
d3d      I         d3d_disp.cpp:1353 d3d_display_thread_proc          [   0.04935] Chose a display format: 23
d3d      I         d3d_disp.cpp:1422 d3d_display_thread_proc          [   0.04941] Normal window.
d3d      I         d3d_disp.cpp:786  d3d_create_device                [   0.11180] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:848  d3d_create_device                [   0.14148] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:856  d3d_create_device                [   0.14164] Success
d3d      D         d3d_disp.cpp:1703 d3d_create_display_internals     [   0.14176] Resumed after wait.
d3d      I         d3d_disp.cpp:1736 d3d_create_display_internals     [   0.14183] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1767 d3d_create_display_internals     [   0.14192] Returning d3d_display: 00000233855D6C50
d3d      D         d3d_disp.cpp:1792 d3d_create_display_locked        [   0.14201] al_display=00000233855D6C50
d3d      D         d3d_disp.cpp:1793 d3d_create_display_locked        [   0.14206] al_display->vt=00000233855A2F10
dtor     D               dtor.c:196  _al_register_destructor          [   0.14230] added dtor for queue 0000023385600630, func 00007FFA2C771C53
dtor     D               dtor.c:196  _al_register_destructor          [   0.14242] added dtor for timer 00000233855EA300, func 00007FFA2C771050
dtor     D               dtor.c:196  _al_register_destructor          [   0.14253] added dtor for bitmap 000002338B28C180, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.14301] added dtor for bitmap 000002338B2A5EA0, func 00007FFA2C771190
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.14486] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.14546] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.14564] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.14580] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.14611] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.14635] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.14657] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.14673] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.14690] Fake format
d3d      D         d3d_disp.cpp:1205 real_choose_bitmap_format        [   0.14710] Alpha doesn't match
d3d      D         d3d_disp.cpp:1212 real_choose_bitmap_format        [   0.14726] Adapter format is 23
d3d      D         d3d_disp.cpp:1215 real_choose_bitmap_format        [   0.14762] Found a format
d3d      I         d3d_disp.cpp:2386 d3d_create_bitmap                [   0.14790] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.14871] added dtor for bitmap 000002338B2BFF00, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.14995] added dtor for sub_bitmap 000002338B8E3A50, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15005] added dtor for sub_bitmap 000002338B8E3C40, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15010] added dtor for sub_bitmap 000002338B8E3E30, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15018] added dtor for sub_bitmap 000002338B8E4020, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15024] added dtor for sub_bitmap 000002338B8E4210, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15029] added dtor for sub_bitmap 000002338B8E4400, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15038] added dtor for sub_bitmap 000002338B8E45F0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15045] added dtor for sub_bitmap 000002338B8E47E0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15052] added dtor for sub_bitmap 000002338B8E49D0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15057] added dtor for sub_bitmap 000002338B8E4BC0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15063] added dtor for sub_bitmap 000002338B8E4DB0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15068] added dtor for sub_bitmap 000002338B2DB0D0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15074] added dtor for sub_bitmap 000002338B2DBEB0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15079] added dtor for sub_bitmap 000002338B2DB8E0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15083] added dtor for sub_bitmap 000002338B2DBCC0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15089] added dtor for sub_bitmap 000002338B2DC0A0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15094] added dtor for sub_bitmap 000002338B2DB6F0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15098] added dtor for sub_bitmap 000002338B2DBAD0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15102] added dtor for sub_bitmap 000002338B2DB310, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15107] added dtor for sub_bitmap 000002338B2DB500, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15111] added dtor for sub_bitmap 000002338B28B710, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15114] added dtor for sub_bitmap 000002338B28B330, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15118] added dtor for sub_bitmap 000002338B28A1C0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15122] added dtor for sub_bitmap 000002338B28BED0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15126] added dtor for sub_bitmap 000002338B28BAF0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15130] added dtor for sub_bitmap 000002338B28A5A0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15134] added dtor for sub_bitmap 000002338B28A3B0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15139] added dtor for sub_bitmap 000002338B28AB70, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15143] added dtor for sub_bitmap 000002338B28AD60, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15147] added dtor for sub_bitmap 000002338B28A790, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15152] added dtor for sub_bitmap 000002338B28B900, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15156] added dtor for sub_bitmap 000002338B28BCE0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15162] added dtor for sub_bitmap 000002338B28B520, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15169] added dtor for sub_bitmap 000002338B28A980, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15175] added dtor for sub_bitmap 000002338B28AF50, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15181] added dtor for sub_bitmap 000002338B28B140, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15187] added dtor for sub_bitmap 000002338B2DD680, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15192] added dtor for sub_bitmap 000002338B2DC510, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15197] added dtor for sub_bitmap 000002338B2DCAE0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15202] added dtor for sub_bitmap 000002338B2DDC50, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15206] added dtor for sub_bitmap 000002338B2DD490, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15211] added dtor for sub_bitmap 000002338B2DDE40, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15214] added dtor for sub_bitmap 000002338B2DC320, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15220] added dtor for sub_bitmap 000002338B2DD870, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15225] added dtor for sub_bitmap 000002338B2DDA60, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15230] added dtor for sub_bitmap 000002338B2DC700, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15235] added dtor for sub_bitmap 000002338B2DE030, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15241] added dtor for sub_bitmap 000002338B2DC8F0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15246] added dtor for sub_bitmap 000002338B2DCCD0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15251] added dtor for sub_bitmap 000002338B2DCEC0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15257] added dtor for sub_bitmap 000002338B2DD0B0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15261] added dtor for sub_bitmap 000002338B2DD2A0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15266] added dtor for sub_bitmap 000002338B2E1E60, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15271] added dtor for sub_bitmap 000002338B2E0CF0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15277] added dtor for sub_bitmap 000002338B2E0EE0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15282] added dtor for sub_bitmap 000002338B2E0720, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15286] added dtor for sub_bitmap 000002338B2E2050, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15292] added dtor for sub_bitmap 000002338B2E0B00, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15300] added dtor for sub_bitmap 000002338B2E0340, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15305] added dtor for sub_bitmap 000002338B2E0530, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15311] added dtor for sub_bitmap 000002338B2E10D0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15316] added dtor for sub_bitmap 000002338B2E12C0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15321] added dtor for sub_bitmap 000002338B2E16A0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15326] added dtor for sub_bitmap 000002338B2E1C70, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15331] added dtor for sub_bitmap 000002338B2E0910, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15338] added dtor for sub_bitmap 000002338B2E14B0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15344] added dtor for sub_bitmap 000002338B2E1890, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15349] added dtor for sub_bitmap 000002338B2E1A80, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15358] added dtor for sub_bitmap 000002338B2E2EF0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15365] added dtor for sub_bitmap 000002338B2E2540, func 00007FFA2C771190
